promotion_id,merchant_id,promotion_type,start_date,end_date,promo_spend,promotion_return,promotion_roi
P0000675,M00496,BOGO,2026-03-07,2026-03-20,89.96,208.07,1.3129
P0000677,M00497,Percentage Off,2026-03-08,2026-03-19,55.25,111.58,1.0197
P0000676,M00497,Percentage Off,2026-04-12,2026-04-23,176.79,529.59,1.9956
P0000680,M00498,BOGO,2026-04-07,2026-04-12,171.08,295.73,0.7286
P0000678,M00498,Free Delivery,2026-05-09,2026-05-22,25.74,81.54,2.1674
P0000679,M00498,Percentage Off,2026-05-13,2026-05-21,61.79,178.94,1.8961
P0000681,M00499,Percentage Off,2026-02-12,2026-02-22,215.74,473.89,1.1966
P0000683,M00499,Percentage Off,2026-03-04,2026-03-17,74.18,84.81,0.1432
P0000682,M00499,Free Delivery,2026-04-18,2026-05-01,44.04,122.8,1.7882
P0000684,M00500,BOGO,2026-03-03,2026-03-13,117.96,252.68,1.1421
P0000685,M00500,Free Delivery,2026-03-04,2026-03-16,60.94,164.23,1.6949
P0000686,M00500,Percentage Off,2026-03-12,2026-03-25,91.1,109.16,0.1982
P0000687,M00501,Free Delivery,2026-02-11,2026-02-17,83.53,215.32,1.5779
P0000688,M00502,Percentage Off,2026-03-08,2026-03-22,52.63,106.61,1.0259
P0000689,M00503,Sponsored Listing,2026-02-03,2026-02-17,37.02,51.57,0.3929
P0000690,M00504,Sponsored Listing,2026-05-10,2026-05-14,64.82,208.95,2.2234
P0000691,M00506,Free Delivery,2026-02-23,2026-03-01,37.42,71.11,0.9002
P0000692,M00506,Percentage Off,2026-05-02,2026-05-11,81.56,188.57,1.3121
P0000693,M00507,BOGO,2026-02-02,2026-02-06,149.36,400.35,1.6804
P0000694,M00509,BOGO,2026-02-22,2026-03-07,104.52,268.54,1.5692
P0000695,M00509,BOGO,2026-03-12,2026-03-22,49.21,106.62,1.1668
P0000696,M00509,BOGO,2026-05-05,2026-05-19,54.94,101.6,0.8493
P0000697,M00511,Percentage Off,2026-03-30,2026-04-12,59.45,122.24,1.0562
P0000698,M00513,Sponsored Listing,2026-03-22,2026-03-29,221.85,375.75,0.6937
P0000699,M00513,Free Delivery,2026-04-14,2026-04-22,180.1,576.2,2.1993
P0000700,M00514,Free Delivery,2026-02-28,2026-03-13,33.23,77.38,1.3286
P0000703,M00515,BOGO,2026-02-26,2026-03-08,50.5,87.31,0.7287
P0000702,M00515,Sponsored Listing,2026-02-28,2026-03-11,177.63,317.53,0.7876
P0000701,M00515,Free Delivery,2026-04-28,2026-05-06,98.08,206.12,1.1016
P0000705,M00517,BOGO,2026-02-25,2026-03-11,63.23,172.8,1.7329
P0000704,M00517,Percentage Off,2026-02-27,2026-03-04,47.86,94.63,0.9773
P0000706,M00518,BOGO,2026-04-05,2026-04-10,118.88,159.71,0.3435
P0000707,M00519,Free Delivery,2026-02-20,2026-03-03,81.92,270.37,2.3005
P0000708,M00521,Percentage Off,2026-05-13,2026-05-25,81.09,120.17,0.4818
P0000709,M00522,Sponsored Listing,2026-04-26,2026-05-02,118.2,262.77,1.2231
P0000710,M00524,BOGO,2026-04-05,2026-04-18,246.04,609.05,1.4754
P0000711,M00525,Percentage Off,2026-05-04,2026-05-14,173.62,263.6,0.5183
P0000712,M00526,Percentage Off,2026-02-13,2026-02-25,43.79,127.49,1.9117
P0000714,M00528,Free Delivery,2026-03-04,2026-03-17,50.03,55.32,0.1057
P0000715,M00528,Free Delivery,2026-03-16,2026-03-29,178.4,204.25,0.1449
P0000713,M00528,Percentage Off,2026-05-19,2026-05-27,26.76,57.3,1.1415
P0000716,M00530,Free Delivery,2026-03-21,2026-04-02,106.83,273.57,1.5609
P0000717,M00530,BOGO,2026-04-16,2026-04-23,83.07,127.72,0.5376
P0000718,M00531,Free Delivery,2026-04-07,2026-04-16,175.92,384.64,1.1865
P0000719,M00532,BOGO,2026-04-17,2026-04-27,109.02,178.58,0.6381
P0000720,M00533,Free Delivery,2026-05-04,2026-05-15,101.87,203.23,0.995
P0000722,M00534,BOGO,2026-02-07,2026-02-16,220.85,574.39,1.6009
P0000721,M00534,Percentage Off,2026-02-13,2026-02-20,67.17,162.18,1.4147
P0000726,M00535,Percentage Off,2026-02-02,2026-02-06,54.15,120.0,1.2161
P0000727,M00535,Free Delivery,2026-03-14,2026-03-18,77.97,166.66,1.1375
P0000723,M00535,Free Delivery,2026-03-15,2026-03-23,246.91,366.65,0.4849
P0000725,M00535,Percentage Off,2026-03-17,2026-03-31,118.31,213.59,0.8053
P0000724,M00535,Free Delivery,2026-04-09,2026-04-17,81.56,131.65,0.6142
P0000728,M00536,Free Delivery,2026-02-06,2026-02-16,171.34,514.35,2.0019
P0000729,M00536,BOGO,2026-02-20,2026-03-05,110.05,189.46,0.7215
P0000730,M00537,Free Delivery,2026-05-05,2026-05-14,82.92,155.0,0.8693
P0000731,M00538,Free Delivery,2026-02-24,2026-03-09,73.72,244.02,2.3103
P0000732,M00538,Free Delivery,2026-05-06,2026-05-16,112.5,153.18,0.3616
P0000733,M00539,BOGO,2026-02-23,2026-03-04,92.09,180.9,0.9644
P0000735,M00540,Sponsored Listing,2026-02-25,2026-03-04,31.41,75.63,1.4082
P0000734,M00540,Free Delivery,2026-03-26,2026-04-04,53.33,165.25,2.0989
P0000736,M00541,Free Delivery,2026-03-06,2026-03-19,109.43,213.03,0.9467
P0000738,M00541,Free Delivery,2026-04-12,2026-04-24,176.63,320.65,0.8154
P0000737,M00541,BOGO,2026-04-29,2026-05-12,78.46,229.96,1.931
P0000740,M00543,Free Delivery,2026-02-07,2026-02-13,120.25,321.26,1.6717
P0000739,M00543,Sponsored Listing,2026-03-22,2026-03-28,231.83,496.51,1.1417
P0000741,M00544,Percentage Off,2026-03-21,2026-04-04,55.95,99.84,0.7844
P0000743,M00545,Free Delivery,2026-03-04,2026-03-18,29.11,61.73,1.1208
P0000742,M00545,Percentage Off,2026-03-09,2026-03-21,36.21,50.58,0.3967
P0000744,M00546,Sponsored Listing,2026-05-08,2026-05-13,68.76,185.32,1.6951
P0000745,M00547,Sponsored Listing,2026-03-23,2026-03-27,124.53,289.83,1.3273
P0000746,M00549,BOGO,2026-04-07,2026-04-13,39.84,65.37,0.6407
P0000748,M00549,Free Delivery,2026-04-29,2026-05-10,81.14,221.01,1.7239
P0000747,M00549,Percentage Off,2026-04-30,2026-05-05,76.47,237.65,2.1076
P0000749,M00549,BOGO,2026-05-15,2026-05-24,39.28,105.48,1.6854
P0000750,M00550,Sponsored Listing,2026-03-06,2026-03-18,36.8,60.41,0.6414
P0000751,M00552,Sponsored Listing,2026-05-12,2026-05-18,48.87,107.66,1.2032
P0000753,M00555,Free Delivery,2026-04-10,2026-04-19,245.09,257.12,0.0491
P0000752,M00555,Percentage Off,2026-04-22,2026-05-01,34.61,47.3,0.3666
P0000755,M00557,Free Delivery,2026-02-15,2026-02-26,158.46,310.47,0.9593
P0000756,M00557,BOGO,2026-04-23,2026-05-02,171.81,236.63,0.3772
P0000754,M00557,Percentage Off,2026-04-29,2026-05-06,58.78,78.24,0.331
P0000759,M00558,Percentage Off,2026-02-09,2026-02-21,29.12,64.92,1.2292
P0000757,M00558,Free Delivery,2026-03-12,2026-03-26,67.64,174.92,1.586
P0000758,M00558,Free Delivery,2026-05-09,2026-05-23,116.48,257.11,1.2073
P0000760,M00559,Percentage Off,2026-03-19,2026-03-29,35.06,61.49,0.7538
P0000761,M00560,Percentage Off,2026-02-10,2026-02-17,78.77,199.19,1.5286
P0000762,M00560,BOGO,2026-02-18,2026-02-23,59.42,141.06,1.3741
P0000764,M00560,Free Delivery,2026-03-04,2026-03-15,345.71,1073.13,2.1041
P0000763,M00560,BOGO,2026-04-07,2026-04-19,129.1,287.39,1.2262
P0000765,M00562,BOGO,2026-02-09,2026-02-15,86.81,81.11,-0.0657
P0000766,M00562,Percentage Off,2026-03-13,2026-03-23,63.22,204.8,2.2395
P0000767,M00563,BOGO,2026-05-18,2026-05-24,35.3,84.12,1.3833
P0000768,M00564,Percentage Off,2026-03-17,2026-03-21,128.2,394.12,2.0742
P0000769,M00564,BOGO,2026-05-06,2026-05-19,327.02,557.85,0.7059
P0000770,M00566,Sponsored Listing,2026-04-30,2026-05-08,75.78,188.33,1.4851
P0000771,M00568,Percentage Off,2026-03-18,2026-03-24,71.08,218.25,2.0707
P0000772,M00568,Sponsored Listing,2026-04-15,2026-04-21,57.83,130.7,1.26
P0000773,M00569,BOGO,2026-05-11,2026-05-20,96.63,195.67,1.025
P0000774,M00571,Free Delivery,2026-02-15,2026-02-27,39.9,96.55,1.4201
P0000776,M00571,Sponsored Listing,2026-03-22,2026-03-27,70.22,155.71,1.2174
P0000775,M00571,Sponsored Listing,2026-04-17,2026-04-29,151.76,503.58,2.3182
P0000777,M00572,Free Delivery,2026-04-03,2026-04-07,81.53,225.45,1.7654
P0000778,M00573,Sponsored Listing,2026-02-13,2026-02-21,75.9,168.94,1.2259
P0000779,M00573,Sponsored Listing,2026-05-08,2026-05-22,83.02,180.83,1.1782
P0000780,M00573,Free Delivery,2026-05-10,2026-05-24,63.79,86.45,0.3553
P0000782,M00575,Percentage Off,2026-02-04,2026-02-11,82.94,97.63,0.1772
P0000783,M00575,Percentage Off,2026-03-11,2026-03-17,348.52,766.05,1.198
P0000781,M00575,Percentage Off,2026-04-01,2026-04-12,156.81,358.39,1.2855
P0000786,M00576,Percentage Off,2026-02-02,2026-02-06,26.82,47.05,0.7546
P0000785,M00576,Free Delivery,2026-03-18,2026-04-01,74.05,104.65,0.4132
P0000787,M00576,Percentage Off,2026-04-05,2026-04-15,129.21,245.72,0.9017
P0000784,M00576,Sponsored Listing,2026-04-09,2026-04-13,101.18,297.52,1.9406
P0000790,M00578,Sponsored Listing,2026-02-21,2026-03-02,52.16,115.09,1.2065
P0000789,M00578,Sponsored Listing,2026-03-17,2026-03-27,56.1,112.83,1.0113
P0000791,M00578,BOGO,2026-04-14,2026-04-23,65.68,111.31,0.6947
P0000788,M00578,Sponsored Listing,2026-05-09,2026-05-23,132.56,284.65,1.1474
P0000794,M00579,Percentage Off,2026-02-15,2026-02-28,105.36,279.64,1.6542
P0000792,M00579,BOGO,2026-02-21,2026-03-04,61.2,132.72,1.1686
P0000793,M00579,Sponsored Listing,2026-05-15,2026-05-23,120.07,215.56,0.7953
P0000795,M00581,Free Delivery,2026-03-07,2026-03-14,30.6,65.46,1.139
P0000796,M00583,BOGO,2026-05-12,2026-05-19,91.51,229.69,1.5101
P0000800,M00585,Percentage Off,2026-03-03,2026-03-17,32.39,63.52,0.9615
P0000799,M00585,Free Delivery,2026-04-01,2026-04-05,37.96,82.61,1.1761
P0000798,M00585,Percentage Off,2026-04-24,2026-05-04,194.41,383.96,0.975
P0000797,M00585,Free Delivery,2026-05-13,2026-05-25,112.47,229.05,1.0365
P0000801,M00588,Free Delivery,2026-04-11,2026-04-17,66.29,98.63,0.4878
P0000802,M00591,Free Delivery,2026-02-19,2026-02-28,49.27,103.21,1.0948
P0000803,M00592,Free Delivery,2026-04-25,2026-05-09,50.62,156.18,2.0852
P0000804,M00593,BOGO,2026-05-15,2026-05-23,60.55,128.2,1.1171
P0000805,M00594,BOGO,2026-02-26,2026-03-08,84.24,142.93,0.6966
P0000806,M00594,Sponsored Listing,2026-03-20,2026-03-28,34.23,73.58,1.1492
P0000807,M00594,Free Delivery,2026-04-04,2026-04-12,25.69,53.05,1.0649
P0000808,M00595,BOGO,2026-05-01,2026-05-07,258.57,542.97,1.0999
P0000810,M00596,BOGO,2026-03-24,2026-04-06,253.99,470.2,0.8513
P0000809,M00596,Percentage Off,2026-03-28,2026-04-01,43.91,132.81,2.025
P0000811,M00597,Sponsored Listing,2026-04-05,2026-04-18,54.12,89.78,0.6589
P0000812,M00598,Sponsored Listing,2026-02-24,2026-03-09,93.75,193.56,1.0646
P0000813,M00598,BOGO,2026-03-09,2026-03-20,102.71,252.97,1.463
P0000814,M00598,BOGO,2026-04-19,2026-04-23,33.79,82.17,1.4317
P0000815,M00600,Sponsored Listing,2026-03-03,2026-03-17,160.48,341.87,1.1303
P0000817,M00600,BOGO,2026-04-17,2026-04-29,41.77,97.0,1.3224
P0000816,M00600,Percentage Off,2026-05-11,2026-05-20,65.93,153.01,1.3206
P0000819,M00601,BOGO,2026-02-06,2026-02-11,83.25,247.29,1.9704
P0000818,M00601,Free Delivery,2026-05-16,2026-05-23,127.67,231.03,0.8095
P0000820,M00602,Percentage Off,2026-02-15,2026-02-27,45.28,100.72,1.2244
P0000822,M00603,BOGO,2026-03-05,2026-03-13,89.9,118.3,0.3159
P0000821,M00603,Free Delivery,2026-04-02,2026-04-08,42.21,99.92,1.3674
P0000823,M00603,Free Delivery,2026-04-30,2026-05-10,61.16,120.99,0.9784
P0000824,M00605,Sponsored Listing,2026-03-12,2026-03-23,194.07,722.94,2.7251
P0000825,M00605,Free Delivery,2026-05-03,2026-05-09,133.24,249.54,0.8728
P0000828,M00608,Free Delivery,2026-03-06,2026-03-19,101.23,172.38,0.703
P0000827,M00608,Free Delivery,2026-03-10,2026-03-23,132.6,269.9,1.0355
P0000829,M00608,Free Delivery,2026-03-15,2026-03-27,51.82,123.12,1.3757
P0000826,M00608,Free Delivery,2026-04-17,2026-04-28,81.88,156.1,0.9064
P0000830,M00609,BOGO,2026-05-18,2026-05-29,40.22,69.55,0.7292
P0000831,M00610,Free Delivery,2026-03-19,2026-03-24,46.42,94.63,1.0388
P0000832,M00610,Percentage Off,2026-04-12,2026-04-17,50.4,141.93,1.8161
P0000833,M00611,Free Delivery,2026-05-06,2026-05-10,45.44,113.59,1.5
P0000834,M00612,Percentage Off,2026-04-21,2026-04-30,73.82,103.1,0.3966
P0000835,M00613,Percentage Off,2026-02-12,2026-02-24,97.79,196.62,1.0105
P0000836,M00613,Percentage Off,2026-02-21,2026-02-28,62.79,128.85,1.0522
P0000838,M00615,Free Delivery,2026-02-20,2026-03-02,32.89,84.04,1.5551
P0000840,M00615,Sponsored Listing,2026-03-04,2026-03-15,61.36,115.78,0.8869
P0000837,M00615,BOGO,2026-04-10,2026-04-16,149.73,386.54,1.5816
P0000839,M00615,Percentage Off,2026-05-02,2026-05-08,38.75,67.05,0.7303
P0000841,M00617,Percentage Off,2026-02-19,2026-02-28,305.59,595.52,0.9487
P0000842,M00617,Sponsored Listing,2026-04-29,2026-05-07,105.3,200.31,0.9023
P0000843,M00619,Percentage Off,2026-05-11,2026-05-23,70.89,139.78,0.9718
P0000844,M00621,BOGO,2026-02-01,2026-02-13,76.69,156.03,1.0345
P0000845,M00622,Free Delivery,2026-02-18,2026-02-23,163.16,390.53,1.3935
P0000847,M00622,Sponsored Listing,2026-03-13,2026-03-27,95.08,219.6,1.3095
P0000846,M00622,Sponsored Listing,2026-04-13,2026-04-18,37.27,85.75,1.3006
P0000848,M00626,Sponsored Listing,2026-03-10,2026-03-20,78.57,157.46,1.0041
P0000849,M00626,Percentage Off,2026-04-06,2026-04-14,95.36,156.39,0.6401
P0000850,M00627,Percentage Off,2026-02-06,2026-02-14,139.04,287.81,1.07
P0000851,M00628,BOGO,2026-03-08,2026-03-14,147.14,280.15,0.904
P0000852,M00629,Free Delivery,2026-04-11,2026-04-15,98.74,143.41,0.4523
P0000853,M00630,Sponsored Listing,2026-03-23,2026-04-01,150.69,469.78,2.1176
P0000854,M00631,Percentage Off,2026-04-26,2026-05-04,61.83,146.46,1.3687
P0000855,M00632,Percentage Off,2026-05-15,2026-05-27,166.25,559.24,2.3638
P0000856,M00633,Free Delivery,2026-03-02,2026-03-08,61.3,141.6,1.3097
P0000858,M00634,Percentage Off,2026-05-03,2026-05-09,53.36,119.8,1.2452
P0000857,M00634,Free Delivery,2026-05-05,2026-05-09,46.91,125.21,1.669
P0000860,M00637,Sponsored Listing,2026-03-15,2026-03-26,142.23,368.78,1.5928
P0000859,M00637,Sponsored Listing,2026-05-02,2026-05-12,25.39,43.56,0.7153
P0000861,M00638,Percentage Off,2026-02-11,2026-02-18,139.19,151.21,0.0863
P0000862,M00638,Sponsored Listing,2026-03-28,2026-04-01,21.85,34.61,0.5837
P0000863,M00639,Free Delivery,2026-04-11,2026-04-23,108.35,237.56,1.1924
P0000865,M00640,Percentage Off,2026-02-07,2026-02-20,111.19,381.13,2.4276
P0000866,M00640,BOGO,2026-03-03,2026-03-14,25.63,56.67,1.2108
P0000864,M00640,Percentage Off,2026-04-06,2026-04-17,82.84,232.29,1.8041
P0000867,M00641,Percentage Off,2026-02-09,2026-02-22,151.16,370.03,1.448
P0000868,M00641,Free Delivery,2026-04-29,2026-05-04,147.77,407.82,1.7597
P0000869,M00643,BOGO,2026-02-13,2026-02-26,83.12,187.12,1.2512
P0000870,M00643,BOGO,2026-05-04,2026-05-09,25.32,41.09,0.6229
P0000871,M00644,Free Delivery,2026-03-19,2026-03-25,131.64,459.06,2.4871
P0000872,M00646,Percentage Off,2026-03-17,2026-03-30,86.73,291.67,2.3631
P0000874,M00647,Sponsored Listing,2026-02-05,2026-02-15,249.89,649.71,1.6
P0000873,M00647,BOGO,2026-03-27,2026-04-10,56.34,185.2,2.2869
P0000875,M00649,Free Delivery,2026-04-16,2026-04-20,110.83,200.89,0.8127
P0000876,M00650,Percentage Off,2026-02-25,2026-03-05,275.89,623.66,1.2605
P0000877,M00651,Sponsored Listing,2026-04-01,2026-04-07,65.82,100.87,0.5325
P0000878,M00652,Percentage Off,2026-05-10,2026-05-19,27.6,79.91,1.895
P0000879,M00653,Free Delivery,2026-03-07,2026-03-20,221.87,421.78,0.901
P0000880,M00655,Free Delivery,2026-03-03,2026-03-17,160.5,455.32,1.8369
P0000881,M00656,Percentage Off,2026-03-07,2026-03-13,43.59,80.07,0.8369
P0000882,M00656,BOGO,2026-05-11,2026-05-21,128.26,364.3,1.8403
P0000883,M00658,BOGO,2026-05-11,2026-05-22,63.83,163.07,1.5547
P0000884,M00659,BOGO,2026-02-23,2026-03-03,346.61,630.01,0.8177
P0000888,M00660,Free Delivery,2026-03-27,2026-04-08,125.84,238.14,0.8925
P0000886,M00660,BOGO,2026-03-29,2026-04-07,50.22,75.14,0.4963
P0000885,M00660,Sponsored Listing,2026-05-05,2026-05-10,166.17,520.71,2.1336
P0000887,M00660,BOGO,2026-05-09,2026-05-15,76.37,139.28,0.8239
P0000890,M00662,Free Delivery,2026-02-05,2026-02-14,41.8,54.12,0.2949
P0000889,M00662,BOGO,2026-02-08,2026-02-19,47.62,95.91,1.014
P0000891,M00662,BOGO,2026-04-14,2026-04-18,176.07,544.88,2.0947
P0000892,M00664,Percentage Off,2026-04-02,2026-04-15,66.75,123.29,0.847
P0000893,M00664,BOGO,2026-04-29,2026-05-10,133.09,284.77,1.1396
P0000895,M00665,Percentage Off,2026-02-15,2026-02-24,63.65,167.96,1.6388
P0000894,M00665,Percentage Off,2026-04-26,2026-05-04,87.96,299.87,2.4093
P0000896,M00667,Sponsored Listing,2026-05-08,2026-05-19,226.45,756.73,2.3417
P0000897,M00667,Percentage Off,2026-05-14,2026-05-19,131.72,185.32,0.4069
P0000898,M00668,BOGO,2026-03-13,2026-03-18,127.57,333.71,1.6159
P0000900,M00668,Free Delivery,2026-03-21,2026-04-01,104.48,209.42,1.0043
P0000901,M00668,Sponsored Listing,2026-03-30,2026-04-12,135.55,288.34,1.1273
P0000899,M00668,Free Delivery,2026-05-17,2026-05-22,75.81,57.74,-0.2383
P0000903,M00669,Percentage Off,2026-02-15,2026-02-25,191.09,467.77,1.4479
P0000904,M00669,Sponsored Listing,2026-02-18,2026-02-24,95.04,165.08,0.737
P0000902,M00669,Sponsored Listing,2026-03-14,2026-03-27,140.57,328.74,1.3386
P0000906,M00670,Sponsored Listing,2026-04-26,2026-05-06,68.44,176.23,1.5751
P0000907,M00670,Percentage Off,2026-04-29,2026-05-12,102.16,187.15,0.8319
P0000905,M00670,Sponsored Listing,2026-05-10,2026-05-17,60.89,100.31,0.6473
P0000911,M00671,BOGO,2026-02-05,2026-02-11,33.59,61.01,0.8163
P0000910,M00671,Free Delivery,2026-03-10,2026-03-20,40.95,105.86,1.5851
P0000909,M00671,BOGO,2026-04-12,2026-04-19,110.54,221.19,1.001
P0000908,M00671,Free Delivery,2026-04-18,2026-04-23,31.88,56.51,0.7727
P0000913,M00673,Percentage Off,2026-04-30,2026-05-08,46.39,115.64,1.493
P0000912,M00673,Percentage Off,2026-05-08,2026-05-16,72.08,113.96,0.581
P0000914,M00674,Percentage Off,2026-02-25,2026-03-10,113.76,264.91,1.3287
P0000917,M00675,BOGO,2026-02-26,2026-03-04,175.59,395.29,1.2512
P0000915,M00675,Free Delivery,2026-04-03,2026-04-16,96.97,71.91,-0.2584
P0000916,M00675,BOGO,2026-05-03,2026-05-07,74.07,156.53,1.1131
P0000918,M00676,Percentage Off,2026-02-01,2026-02-10,169.09,316.68,0.8729
P0000919,M00677,Sponsored Listing,2026-03-25,2026-04-02,26.26,53.93,1.0542
P0000923,M00677,Free Delivery,2026-04-14,2026-04-28,88.12,136.85,0.553
P0000920,M00677,Percentage Off,2026-04-16,2026-04-28,50.33,116.98,1.3242
P0000921,M00677,Sponsored Listing,2026-05-13,2026-05-27,61.59,136.86,1.2221
P0000922,M00677,Sponsored Listing,2026-05-14,2026-05-25,45.67,84.08,0.8409
P0000924,M00680,Percentage Off,2026-03-13,2026-03-27,53.86,57.07,0.0595
P0000925,M00681,Percentage Off,2026-02-20,2026-02-25,110.56,203.47,0.8403
P0000926,M00682,Sponsored Listing,2026-02-13,2026-02-27,27.06,53.17,0.965
P0000927,M00682,Sponsored Listing,2026-04-07,2026-04-11,157.06,355.22,1.2617
P0000928,M00682,Sponsored Listing,2026-05-09,2026-05-14,81.78,267.96,2.2764
P0000931,M00683,Sponsored Listing,2026-02-24,2026-03-07,101.89,199.25,0.9556
P0000929,M00683,Percentage Off,2026-02-28,2026-03-13,175.19,372.2,1.1245
P0000930,M00683,BOGO,2026-05-16,2026-05-26,114.36,299.53,1.6192
P0000935,M00684,BOGO,2026-03-12,2026-03-22,27.21,61.67,1.2664
P0000932,M00684,Free Delivery,2026-03-17,2026-03-25,105.94,249.44,1.3545
P0000934,M00684,Percentage Off,2026-03-17,2026-03-22,84.83,188.04,1.2166
P0000933,M00684,BOGO,2026-04-01,2026-04-11,45.31,82.13,0.8127
P0000937,M00685,BOGO,2026-02-08,2026-02-17,74.89,146.17,0.9517
P0000938,M00685,Percentage Off,2026-03-15,2026-03-26,50.84,154.85,2.0458
P0000936,M00685,BOGO,2026-04-09,2026-04-13,22.77,37.13,0.6309
P0000939,M00686,Free Delivery,2026-03-06,2026-03-15,162.54,338.37,1.0819
P0000941,M00688,Sponsored Listing,2026-02-16,2026-02-22,72.56,200.5,1.763
P0000940,M00688,BOGO,2026-04-12,2026-04-22,70.39,192.47,1.7342
P0000942,M00689,Sponsored Listing,2026-04-11,2026-04-21,54.93,85.12,0.5497
P0000943,M00689,Percentage Off,2026-04-21,2026-04-28,105.81,242.94,1.2961
P0000944,M00691,Free Delivery,2026-04-12,2026-04-25,27.34,18.5,-0.3232
P0000945,M00692,BOGO,2026-05-04,2026-05-10,68.7,188.36,1.7418
P0000947,M00693,Free Delivery,2026-04-25,2026-05-05,29.76,63.35,1.1283
P0000948,M00693,Percentage Off,2026-04-30,2026-05-12,97.57,139.1,0.4256
P0000946,M00693,BOGO,2026-05-08,2026-05-15,108.83,218.08,1.0038
P0000949,M00693,BOGO,2026-05-17,2026-05-25,52.17,175.82,2.3701
P0000950,M00694,Percentage Off,2026-04-18,2026-04-29,250.17,587.95,1.3502
P0000952,M00695,Percentage Off,2026-02-07,2026-02-12,50.36,99.83,0.9824
P0000951,M00695,BOGO,2026-05-07,2026-05-11,93.17,133.19,0.4295
P0000953,M00696,Percentage Off,2026-03-27,2026-04-03,149.19,264.46,0.7726
P0000954,M00697,Sponsored Listing,2026-02-08,2026-02-13,48.81,133.98,1.7453
P0000955,M00697,Sponsored Listing,2026-02-15,2026-02-28,79.43,196.72,1.4767
P0000957,M00698,Percentage Off,2026-04-22,2026-04-30,82.84,188.12,1.2708
P0000956,M00698,Percentage Off,2026-04-26,2026-05-04,65.77,145.25,1.2084
P0000958,M00698,Free Delivery,2026-05-19,2026-05-30,37.8,103.55,1.7396
P0000959,M00699,BOGO,2026-04-21,2026-04-26,152.73,401.34,1.6277
P0000960,M00700,BOGO,2026-04-20,2026-05-04,84.66,168.56,0.991
P0000961,M00702,Sponsored Listing,2026-05-19,2026-05-25,66.22,66.01,-0.0031
P0000962,M00704,Free Delivery,2026-04-10,2026-04-24,42.45,88.26,1.0793
P0000963,M00705,Sponsored Listing,2026-05-06,2026-05-18,82.21,183.67,1.2342
P0000964,M00705,BOGO,2026-05-11,2026-05-21,65.59,132.69,1.0229
P0000965,M00705,BOGO,2026-05-15,2026-05-24,33.06,57.63,0.7434
P0000967,M00706,Percentage Off,2026-02-12,2026-02-18,533.26,1341.02,1.5147
P0000968,M00706,Percentage Off,2026-02-26,2026-03-10,86.2,136.54,0.584
P0000966,M00706,Percentage Off,2026-05-15,2026-05-27,62.26,172.84,1.7759
P0000969,M00707,Percentage Off,2026-04-05,2026-04-18,205.03,231.59,0.1296
P0000970,M00707,Sponsored Listing,2026-04-19,2026-04-26,61.61,227.98,2.7007
P0000971,M00708,Sponsored Listing,2026-02-05,2026-02-14,110.95,314.74,1.8368
P0000972,M00709,Percentage Off,2026-04-18,2026-04-23,84.35,198.47,1.353
P0000974,M00710,Free Delivery,2026-02-02,2026-02-15,49.31,68.79,0.395
P0000973,M00710,Sponsored Listing,2026-02-14,2026-02-22,72.17,169.41,1.3473
P0000975,M00710,Percentage Off,2026-04-12,2026-04-18,75.34,169.23,1.2461
P0000976,M00712,Sponsored Listing,2026-03-15,2026-03-24,58.82,144.72,1.4606
P0000977,M00714,Percentage Off,2026-02-11,2026-02-16,41.05,100.36,1.4446
P0000978,M00715,BOGO,2026-02-01,2026-02-11,27.09,27.08,-0.0004
P0000979,M00716,Free Delivery,2026-03-14,2026-03-28,27.18,54.35,0.9997
P0000981,M00717,Free Delivery,2026-04-02,2026-04-15,87.42,198.14,1.2664
P0000980,M00717,Free Delivery,2026-05-04,2026-05-13,152.33,300.0,0.9694
P0000983,M00718,BOGO,2026-03-10,2026-03-17,244.75,585.43,1.3919
P0000984,M00718,BOGO,2026-04-17,2026-04-26,215.15,371.6,0.7272
P0000982,M00718,Sponsored Listing,2026-04-27,2026-05-02,219.69,416.82,0.8973
P0000985,M00719,Percentage Off,2026-02-20,2026-03-06,130.59,313.36,1.3996
P0000987,M00720,Free Delivery,2026-02-16,2026-02-26,132.12,277.2,1.0981
P0000988,M00720,Sponsored Listing,2026-02-21,2026-03-07,65.11,139.52,1.1428
P0000989,M00720,Percentage Off,2026-04-08,2026-04-19,96.3,275.7,1.8628
P0000986,M00720,BOGO,2026-05-13,2026-05-23,84.24,188.82,1.2415
P0000990,M00721,Free Delivery,2026-03-13,2026-03-19,214.93,463.76,1.1577
P0000991,M00721,Free Delivery,2026-04-15,2026-04-19,73.97,223.41,2.0203
P0000993,M00722,Sponsored Listing,2026-03-17,2026-03-25,162.33,371.84,1.2907
P0000992,M00722,BOGO,2026-04-04,2026-04-14,82.51,230.18,1.7897
P0000995,M00724,Sponsored Listing,2026-02-05,2026-02-17,158.96,361.02,1.2711
P0000994,M00724,Percentage Off,2026-05-09,2026-05-15,100.2,224.61,1.2417
P0000996,M00725,Free Delivery,2026-02-20,2026-02-25,162.74,347.93,1.1379
P0000997,M00727,BOGO,2026-02-06,2026-02-17,77.22,218.92,1.8352
P0000998,M00727,Percentage Off,2026-02-11,2026-02-15,54.67,101.93,0.8645
P0001002,M00728,Sponsored Listing,2026-02-01,2026-02-07,188.46,389.57,1.0671
